Netlist,LOFi1,LOFi2,PI
n1898,1,6,9
n1895,1,2,10
n1894,1,6,9
g23126,4,18,2
n1897,1,6,9
n1896,1,6,9
g7334,4,8,3
g16845,4,13,2
g16844,4,13,17
g12487,6,15,10
n1880,1,2,29
n1882,1,2,29
g12482,6,15,12
DFF_1628_n1,4,8,22
n1888,1,3,11
n1887,1,6,11
g23133,4,18,10
g23132,4,13,12
n1889,1,2,12
n1884,1,2,29
g23137,4,18,11
n1886,1,2,29
g23136,3,6,19
n1885,1,2,12
g7302,1,4,9
g17303,4,13,12
g17302,4,13,14
g20953,4,11,15
g20954,4,11,14
g20951,4,11,16
g20952,4,8,16
g20955,4,11,16
n3616,3,8,12
n3617,3,3,7
n3614,3,8,11
n3615,2,3,14
n3612,2,7,5
g20950,4,11,14
n3613,6,15,8
n3610,2,2,10
n3611,2,2,10
g506,4,8,11
n3618,3,3,13
n3619,4,12,6
g20964,4,11,16
g20965,4,11,15
g20962,4,11,15
g20963,4,11,14
g20968,4,11,16
g20969,4,8,18
g20966,4,11,3
g20967,4,11,14
n3605,3,5,8
n3606,3,3,13
n3603,6,24,5
n3604,4,13,6
n3601,3,3,7
n3602,6,24,5
n3600,4,14,6
g27594,2,3,20
n3609,2,4,24
n3607,3,8,13
n3608,2,7,12
g523,4,8,2
g30300,4,16,2
g20975,4,8,18
n3630,4,6,13
g20976,4,8,2
n3631,2,2,13
g20973,4,11,14
n2300,5,12,4
g20974,4,11,16
g20979,4,11,16
g20977,4,11,15
g20978,4,11,14
n2306,5,11,4
n3638,4,13,6
n2305,6,24,10
n3639,3,5,23
n2308,2,7,11
n3636,6,15,8
n2307,2,3,16
n3637,6,15,8
n2302,2,9,13
n3634,4,14,9
g20972,4,11,15
n2301,6,24,10
n3635,3,3,10
n2304,5,12,4
n3632,2,3,11
g20970,4,8,18
n2303,2,4,14
n3633,4,19,9
g30301,4,10,15
g30302,4,13,13
g30303,4,10,11
g528,4,10,11
g30304,4,13,13
n2309,2,2,15
g525,4,8,15
g524,4,8,3
g18669,4,13,11
g5595,4,8,26
n3620,2,4,24
g20989,4,11,15
n3627,3,8,8
n3628,2,7,7
n3625,6,21,10
n3626,3,3,8
g20982,4,11,14
n3623,4,6,11
g20983,4,11,16
n3624,2,2,11
g20980,4,8,3
n3621,4,13,14
g20981,4,11,15
n3622,2,2,5
DFF_328_n1,4,8,15
n3629,2,2,5
g513,4,6,1
g545,4,5,8
g20917,4,11,14
g6895,4,8,3
g544,4,8,10
g20918,4,11,18
g543,4,10,9
g20915,4,11,14
g542,4,8,13
g20916,4,11,16
g20919,4,11,2
n2320,2,7,11
n3652,6,21,6
g20910,4,11,3
n3653,3,3,10
n2322,4,6,12
n3650,4,6,7
n2321,6,24,10
n3651,2,2,7
g20913,4,11,15
DFF_1494_n1,4,8,3
g20911,4,11,14
g20912,4,11,16
n2328,3,12,16
n2327,6,24,10
n3658,2,2,13
n2329,2,6,6
n3659,2,3,13
n2324,3,3,12
n3656,2,2,5
n2323,4,21,13
n3657,4,6,13
n2326,3,18,11
n3654,3,8,10
n2325,6,24,10
n3655,2,7,9
g549,4,10,9
g548,4,8,12
g20926,4,11,14
g20927,4,11,16
n3641,3,8,13
g20921,4,11,15
n3642,2,7,12
DFF_446_n1,4,8,7
n2311,5,12,4
n2310,6,24,10
n3640,3,3,13
g20924,4,8,3
g20925,4,11,15
g20922,4,11,14
g20923,4,11,16
n2317,5,17,12
n3649,2,2,5
n2316,2,8,13
n2319,2,3,16
n3647,6,21,10
n2318,6,24,10
n3648,3,8,13
n2313,3,5,1
n3645,2,2,12
n2312,6,24,10
n3646,2,7,5
n2315,3,10,9
n3643,2,4,24
n3644,2,2,12
g538,4,8,19
g537,4,8,7
g536,4,4,1
g535,4,8,12
g567,4,8,9
g1183,4,8,14
g20939,4,11,14
g566,4,8,8
g565,4,8,8
g20937,4,11,2
g564,4,8,7
g563,0,0,0
g1186,4,8,12
g5549,4,8,26
n2342,4,7,4
n3674,2,2,5
n2341,4,7,4
n3675,4,6,12
n2344,5,12,11
n3672,3,8,12
n2343,2,10,12
n3673,2,7,11
g20935,4,11,14
n3670,6,15,8
g20936,4,11,16
n3671,3,3,12
n2340,5,12,11
g20934,4,11,15
n2349,2,3,16
n2346,5,12,11
n3678,2,8,13
n2345,5,12,11
n3679,2,6,18
n2348,5,11,4
n3676,2,2,12
n2347,2,3,3
n3677,6,21,10
g569,4,8,8
g568,4,8,2
g554,4,8,14
g1192,4,8,13
g20948,4,8,18
g5555,1,4,7
g20949,4,11,15
g551,4,5,10
g1199,4,10,5
g550,4,5,12
g1196,4,8,15
n2331,2,8,5
n3663,6,21,10
n2330,2,5,18
n3664,6,21,10
g20940,4,11,16
n2333,4,7,4
n3661,4,14,11
g20941,4,11,3
n2332,4,7,4
n3662,3,3,12
g20946,4,11,16
g20947,4,8,18
n3660,4,19,11
g20944,4,11,15
g20945,4,11,2
n2339,4,7,4
n3669,2,2,10
n2335,3,11,5
n3667,2,2,5
n2334,4,10,6
n3668,4,6,10
n2337,5,12,11
n3665,4,13,6
n2336,3,11,12
n3666,3,5,23
g559,4,8,10
g558,4,10,9
g557,4,8,14
